Restaurant; URL; Adresse; Tel; Note;
Marc de Café;http://www.tripadvisor.fr/Restaurant_Review-g187234-d6947349-Reviews-Marc_de_Cafe-Nice_French_Riviera_Cote_d_Azur_Provence.html/;5 rue Colonna d'Istria | Vieux Nice, 06300 Nice, France ;+33 9 81 99 58 09;5.0 5 étoiles;
Oliviera;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1155633-Reviews-Oliviera-Nice_French_Riviera_Cote_d_Azur_Provence.html/;8 bis rue du Collet, 06300 Nice, France ;0493130645;4.5 5 étoiles;
Pastry Plaisirs;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3561018-Reviews-Pastry_Plaisirs-Nice_French_Riviera_Cote_d_Azur_Provence.html/;11 rue delille, 06000 Nice, France ;+33 6 21 25 35 87;4.5 5 étoiles;
Pucci Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3859360-Reviews-Pucci_Restaurant-Nice_French_Riviera_Cote_d_Azur_Provence.html/;57, avenue Cyrille Besset, 06100 Nice, France ;+33 9 83 36 32 22;4.5 5 étoiles;
Le Vingt4;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2264534-Reviews-Le_Vingt4-Nice_French_Riviera_Cote_d_Azur_Provence.html/;24 rue Alphonse Karr, 06000 Nice, France ;+33 4 93 88 45 49;4.5 5 étoiles;
Vino & Cucina;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2048444-Reviews-Vino_Cucina-Nice_French_Riviera_Cote_d_Azur_Provence.html/;118 Bis Bd Cessole, 06100 Nice, France ;+33 4 93 52 28 08;4.5 5 étoiles;
Bistro Saint Louis;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3380276-Reviews-Bistro_Saint_Louis-Nice_French_Riviera_Cote_d_Azur_Provence.html/;15 Rue Tonduti de l'Escarene, 06000 Nice, France ;+33 4 93 62 93 36;4.5 5 étoiles;
Restaurant Les Garçons;http://www.tripadvisor.fr/Restaurant_Review-g187234-d6781651-Reviews-Restaurant_Les_Garcons-Nice_French_Riviera_Cote_d_Azur_Provence.html/;3 rue Centrale, 06300 Nice, France ;+33 4 93 80 87 90;4.5 5 étoiles;
Chez Papa Fred;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3175650-Reviews-Chez_Papa_Fred-Nice_French_Riviera_Cote_d_Azur_Provence.html/;25 Boulevard de la Madeleine, 06000 Nice, France ;+33 4 93 86 84 60;4.5 5 étoiles;
Le passe-plat;http://www.tripadvisor.fr/Restaurant_Review-g187234-d6496671-Reviews-Le_passe_plat-Nice_French_Riviera_Cote_d_Azur_Provence.html/;4 Bis Quai Papacino, 06300 Nice, France ;+33 4 93 26 05 80;4.5 5 étoiles;
Le Sweeties;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2620129-Reviews-Le_Sweeties-Nice_French_Riviera_Cote_d_Azur_Provence.html/;16 rue Centrale, 06300 Nice, France ;0952410339;5.0 5 étoiles;
Niss'art Burger;http://www.tripadvisor.fr/Restaurant_Review-g187234-d7061088-Reviews-Niss_art-Nice_French_Riviera_Cote_d_Azur_Provence.html/;13 Rue Du commandant Raffali, 06000 Nice, France ;+33 4 93 80 45 25;4.5 5 étoiles;
Polly and Cie;http://www.tripadvisor.fr/Restaurant_Review-g187234-d5220418-Reviews-Polly_and_Cie-Nice_French_Riviera_Cote_d_Azur_Provence.html/;6, avenue du Ray, 06100 Nice, France ;+33 4 97 11 01 39;5.0 5 étoiles;
Le Bistrot De La Vieille;http://www.tripadvisor.fr/Restaurant_Review-g187234-d6550546-Reviews-Le_Bistrot_de_la_Vieille-Nice_French_Riviera_Cote_d_Azur_Provence.html/;8 Rue Saint Vincent, 06300 Nice, France ;+33 4 89 22 68 98;4.5 5 étoiles;
Le Chantecler;http://www.tripadvisor.fr/Restaurant_Review-g187234-d965976-Reviews-Le_Chantecler-Nice_French_Riviera_Cote_d_Azur_Provence.html/;37, promenade des Anglais, Nice, France ;+33 (0)4 93 16 64 00;4.5 5 étoiles;
Le Statu.co;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3622787-Reviews-Le_Statu_co-Nice_French_Riviera_Cote_d_Azur_Provence.html/;12 Rue Pastorelli, 06000 Nice, France ;+33 4 93 87 84 24;4.5 5 étoiles;
Chez Mireille;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1322108-Reviews-Chez_Mireille-Nice_French_Riviera_Cote_d_Azur_Provence.html/;19 Boulevard Raimbaldi, 06000 Nice, France ;+33 4 93 85 27 23;4.5 5 étoiles;
Aux Petits Plaisirs;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2238274-Reviews-Aux_Petits_Plaisirs-Nice_French_Riviera_Cote_d_Azur_Provence.html/;103 boulevard Cessole, 06100 Nice, France ;+33 4 93 44 20 23;4.5 5 étoiles;
Bistrot Chaud-Vin;http://www.tripadvisor.fr/Restaurant_Review-g187234-d4814809-Reviews-Bistrot_Chaud_Vin-Nice_French_Riviera_Cote_d_Azur_Provence.html/;6 Rue Chauvain, Nice, France ;+33 4 93 16 81 26;4.5 5 étoiles;
Franchin;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1326341-Reviews-Restaurant_Franchin-Nice_French_Riviera_Cote_d_Azur_Provence.html/;10 rue Massenet | Zone Pietonne, 06000 Nice, France ;+33 4 93 87 15 74;4.5 5 étoiles;
Alto Resto;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1797374-Reviews-Restaurant_tapas_ALTO-Nice_French_Riviera_Cote_d_Azur_Provence.html/;21,rue Barla, 06300 Nice, France ;+33 4 83 39 35 57;4.5 5 étoiles;
Le Bistrot d'Antoine;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2328934-Reviews-Le_Bistrot_d_Antoine-Nice_French_Riviera_Cote_d_Azur_Provence.html/;27 rue de la Prefecture, 06300 Nice, France ;04.93852957 ;4.5 5 étoiles;
