Restaurant; URL; Adresse; Tel; Note;
Cremeria Don Pepe "Gelateria e Yogurteria";http://www.tripadvisor.fr/Restaurant_Review-g187791-d4088077-Reviews-Cremeria_Don_Pepe_Gelateria_e_Yogurteria-Rome_Lazio.html/;Via di San Giovanni in Laterano 40, 00184 Rome, Italie ;5.0 5 étoiles;
Gelateria dell’Angeletto – Emporio dei Gracchi;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6681031-Reviews-Gelateria_dell_Angeletto_Emporio_dei_Gracchi-Rome_Lazio.html/;Via dell'Angeletto 15, Rome, Italie ;39 06 4874760;5.0 5 étoiles;
NOI Nuova Osteria Italiana;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4403647-Reviews-NOI_Nuova_Osteria_Italiana-Rome_Lazio.html/;Via di colle Rosato 8 B | Zona Piazza Della Radio, Rome, Italie ;+39 06 4547 7984;4.5 5 étoiles;
Hedera;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4045683-Reviews-Hedera-Rome_Lazio.html/;Borgo Pio 179, 00193 Rome, Italie ;+(39)066832971;4.5 5 étoiles;
Panino Ricco;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6621383-Reviews-Panino_Ricco-Rome_Lazio.html/;Via Panetteria, 42/a, 00187 Rome, Italie ;+39 06 678 3834;4.5 5 étoiles;
Paninoteca Slurp;http://www.tripadvisor.fr/Restaurant_Review-g187791-d5562550-Reviews-Paninoteca_Slurp-Rome_Lazio.html/;Via Degli Scipioni 62, Rome, Italie ;+39 328 458 5953;4.5 5 étoiles;
La Pagnottella Gourmet;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3837037-Reviews-La_Pagnottella_Gourmet-Rome_Lazio.html/;Via Quintino Sella 53, 00187 Rome, Italie ;+39 06 6482 4024;5.0 5 étoiles;
Zoryani Gelateria Artigianale;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4420305-Reviews-Zoryani_Gelateria_Artigianale-Rome_Lazio.html/;Via Cipro 4F, 00136 Rome, Italie ;+39 06 6400 6242;5.0 5 étoiles;
L'Arena del Gelato;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3844357-Reviews-L_Arena_del_Gelato-Rome_Lazio.html/;Via di Porta Castello, 8/A, 00193 Rome, Italie ;+(39)0668806312;4.5 5 étoiles;
Mordi e Vai;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3662985-Reviews-Mordi_e_Vai-Rome_Lazio.html/;Via B. Franklin, 12 E (nuovo mercato testaccio) | Box 15, Rome, Italie ;3391343344;4.5 5 étoiles;
Locanda Giuliva;http://www.tripadvisor.fr/Restaurant_Review-g187791-d5889231-Reviews-Locanda_Giuliva-Rome_Lazio.html/;Lungotevere Flaminio 62 d, 00196 Rome, Italie ;+39 06 324 1835;4.5 5 étoiles;
Yogurteria YO! Centocelle;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4475247-Reviews-Yogurteria_YO_Centocelle-Rome_Lazio.html/;Via delle Betulle 18/20, 00171 Rome, Italie ;+39 06 215 7179;4.5 5 étoiles;
Waraku;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4297416-Reviews-Waraku-Rome_Lazio.html/;Via Guglielmo Albimonte 12-12A, Rome, Italie ;+39 329 724 8911;4.5 5 étoiles;
Tramonti e Muffati;http://www.tripadvisor.fr/Restaurant_Review-g187791-d798103-Reviews-Tramonti_e_Muffati-Rome_Lazio.html/;Via Santa Maria Ausiliatrice, 105, 00181 Rome, Italie ;+39 06 780 1342;4.5 5 étoiles;
